"Arquivo","Linha","Palavra","Classifica","Trecho"
"\src\app\(site)\page.jsx","5","portfolio","PROVAVEL_SEGURO","import Portfolio from ""@/components/sections/Portfolio"";"
"\src\app\(site)\page.jsx","22","portfolio","RISCO_REAL","<Portfolio />"
"\src\app\api\admin\ambientes\[id]\route.js","8","titulo","RISCO_REAL","titulo: z.string().min(2),"
"\src\app\api\admin\ambientes\[id]\route.js","10","descricao","RISCO_REAL","descricao: z.string().min(5),"
"\src\app\api\admin\ambientes\route.js","8","titulo","RISCO_REAL","titulo: z.string().min(2),"
"\src\app\api\admin\ambientes\route.js","10","descricao","RISCO_REAL","descricao: z.string().min(5),"
"\src\app\api\admin\banners\[id]\route.js","8","titulo","RISCO_REAL","titulo: z.string().min(2),"
"\src\app\api\admin\banners\route.js","8","titulo","RISCO_REAL","titulo: z.string().min(2),"
"\src\app\api\admin\blog\[id]\route.js","8","titulo","RISCO_REAL","titulo: z.string().min(3),"
"\src\app\api\admin\blog\route.js","8","titulo","RISCO_REAL","titulo: z.string().min(3),"
"\src\app\api\admin\portfolio\[id]\route.js","8","titulo","RISCO_REAL","titulo: z.string().min(2),"
"\src\app\api\admin\portfolio\[id]\route.js","10","descricao","RISCO_REAL","descricao: z.string().min(5),"
"\src\app\api\admin\portfolio\route.js","8","titulo","RISCO_REAL","titulo: z.string().min(2),"
"\src\app\api\admin\portfolio\route.js","10","descricao","RISCO_REAL","descricao: z.string().min(5),"
"\src\app\layout.jsx","6","titulo","PROVAVEL_SEGURO","variable: ""--font-titulo"","
"\src\components\admin\AmbienteForm.jsx","10","titulo","RISCO_REAL","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\AmbienteForm.jsx","10","titulo","PROVAVEL_SEGURO","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\AmbienteForm.jsx","15","descricao","RISCO_REAL","descricao: z.string().min(5, ""Informe a descricao""),"
"\src\components\admin\AmbienteForm.jsx","15","descricao","PROVAVEL_SEGURO","descricao: z.string().min(5, ""Informe a descricao""),"
"\src\components\admin\AmbienteForm.jsx","42","titulo","RISCO_REAL","titulo: """","
"\src\components\admin\AmbienteForm.jsx","44","descricao","RISCO_REAL","descricao: """","
"\src\components\admin\AmbienteForm.jsx","81","titulo","RISCO_REAL","Titulo *"
"\src\components\admin\AmbienteForm.jsx","85","titulo","PROVAVEL_SEGURO","{...register(""titulo"")}"
"\src\components\admin\AmbienteForm.jsx","91","titulo","RISCO_REAL","{errors.titulo && ("
"\src\components\admin\AmbienteForm.jsx","92","titulo","PROVAVEL_SEGURO","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\AmbienteForm.jsx","112","descricao","RISCO_REAL","Descricao *"
"\src\components\admin\AmbienteForm.jsx","116","descricao","PROVAVEL_SEGURO","{...register(""descricao"")}"
"\src\components\admin\AmbienteForm.jsx","119","descricao","RISCO_REAL","{errors.descricao && ("
"\src\components\admin\AmbienteForm.jsx","121","descricao","RISCO_REAL","{errors.descricao.message}"
"\src\components\admin\AmbienteForm.jsx","138","esta","RISCO_REAL","aqui (upload direto ainda não esta disponivel)."
"\src\components\admin\BannerForm.jsx","10","titulo","RISCO_REAL","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\BannerForm.jsx","10","titulo","PROVAVEL_SEGURO","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\BannerForm.jsx","30","titulo","RISCO_REAL","titulo: """","
"\src\components\admin\BannerForm.jsx","68","titulo","RISCO_REAL","Titulo *"
"\src\components\admin\BannerForm.jsx","72","titulo","PROVAVEL_SEGURO","{...register(""titulo"")}"
"\src\components\admin\BannerForm.jsx","75","titulo","RISCO_REAL","{errors.titulo && ("
"\src\components\admin\BannerForm.jsx","76","titulo","PROVAVEL_SEGURO","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\BannerForm.jsx","106","esta","RISCO_REAL","(upload direto ainda não esta disponivel)."
"\src\components\admin\PortfolioForm.jsx","10","titulo","RISCO_REAL","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\PortfolioForm.jsx","10","titulo","PROVAVEL_SEGURO","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\PortfolioForm.jsx","15","descricao","RISCO_REAL","descricao: z.string().min(5, ""Informe a descricao""),"
"\src\components\admin\PortfolioForm.jsx","15","descricao","PROVAVEL_SEGURO","descricao: z.string().min(5, ""Informe a descricao""),"
"\src\components\admin\PortfolioForm.jsx","49","titulo","RISCO_REAL","titulo: """","
"\src\components\admin\PortfolioForm.jsx","51","descricao","RISCO_REAL","descricao: """","
"\src\components\admin\PortfolioForm.jsx","69","titulo","RISCO_REAL","titulo: dados.titulo,"
"\src\components\admin\PortfolioForm.jsx","69","titulo","RISCO_REAL","titulo: dados.titulo,"
