"Arquivo","Linha","Palavra","Trecho"
"\src\components\admin\AmbienteForm.jsx","81","titulo","Titulo *"
"\src\components\admin\AmbienteForm.jsx","85","titulo","{...register(""titulo"")}"
"\src\components\admin\AmbienteForm.jsx","91","titulo","{errors.titulo && ("
"\src\components\admin\AmbienteForm.jsx","92","titulo","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\AmbienteForm.jsx","112","descricao","Descricao *"
"\src\components\admin\AmbienteForm.jsx","116","descricao","{...register(""descricao"")}"
"\src\components\admin\AmbienteForm.jsx","119","descricao","{errors.descricao && ("
"\src\components\admin\AmbienteForm.jsx","121","descricao","{errors.descricao.message}"
"\src\components\admin\AmbienteForm.jsx","138","esta","aqui (upload direto ainda nao esta disponivel)."
"\src\components\admin\BannerForm.jsx","10","titulo","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\BannerForm.jsx","30","titulo","titulo: """","
"\src\components\admin\BannerForm.jsx","68","titulo","Titulo *"
"\src\components\admin\BannerForm.jsx","72","titulo","{...register(""titulo"")}"
"\src\components\admin\BannerForm.jsx","75","titulo","{errors.titulo && ("
"\src\components\admin\BannerForm.jsx","76","titulo","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\BannerForm.jsx","106","esta","(upload direto ainda nao esta disponivel)."
"\src\components\admin\PortfolioForm.jsx","10","titulo","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\PortfolioForm.jsx","15","descricao","descricao: z.string().min(5, ""Informe a descricao""),"
"\src\components\admin\PortfolioForm.jsx","49","titulo","titulo: """","
"\src\components\admin\PortfolioForm.jsx","51","descricao","descricao: """","
"\src\components\admin\PortfolioForm.jsx","69","titulo","titulo: dados.titulo,"
"\src\components\admin\PortfolioForm.jsx","71","descricao","descricao: dados.descricao,"
"\src\components\admin\PortfolioForm.jsx","80","portfolio","? `/api/admin/portfolio/${projeto.id}`"
"\src\components\admin\PortfolioForm.jsx","81","portfolio",": ""/api/admin/portfolio"";"
"\src\components\admin\PortfolioForm.jsx","92","portfolio","router.push(""/admin/portfolio"");"
"\src\components\admin\PortfolioForm.jsx","106","titulo","Titulo *"
"\src\components\admin\PortfolioForm.jsx","110","titulo","{...register(""titulo"")}"
"\src\components\admin\PortfolioForm.jsx","116","titulo","{errors.titulo && ("
"\src\components\admin\PortfolioForm.jsx","117","titulo","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\PortfolioForm.jsx","154","descricao","Descricao *"
"\src\components\admin\PortfolioForm.jsx","158","descricao","{...register(""descricao"")}"
"\src\components\admin\PortfolioForm.jsx","161","descricao","{errors.descricao && ("
"\src\components\admin\PortfolioForm.jsx","163","descricao","{errors.descricao.message}"
"\src\components\admin\PortfolioForm.jsx","174","portfolio","placeholder=""/images/portfolio/projeto-01.jpg"""
"\src\components\admin\PortfolioForm.jsx","192","portfolio","""/images/portfolio/projeto-01-galeria-1.jpg\n/images/portfolio/projeto-01-galeria-2.jpg"""
"\src\components\admin\PortfolioForm.jsx","198","portfolio","Copie as fotos para public/images/portfolio/ e liste um caminho"
"\src\components\admin\PortfolioForm.jsx","245","portfolio","onClick={() => router.push(""/admin/portfolio"")}"
"\src\components\admin\PostBlogForm.jsx","10","titulo","titulo: z.string().min(3, ""Informe o titulo""),"
"\src\components\admin\PostBlogForm.jsx","49","titulo","titulo: """","
"\src\components\admin\PostBlogForm.jsx","60","titulo","const titulo = watch(""titulo"");"
"\src\components\admin\PostBlogForm.jsx","64","titulo","setValue(""slug"", gerarSlug(titulo || """"));"
"\src\components\admin\PostBlogForm.jsx","66","titulo","}, [titulo, setValue]);"
"\src\components\admin\PostBlogForm.jsx","96","titulo","Titulo *"
"\src\components\admin\PostBlogForm.jsx","100","titulo","{...register(""titulo"")}"
"\src\components\admin\PostBlogForm.jsx","103","titulo","{errors.titulo && ("
"\src\components\admin\PostBlogForm.jsx","104","titulo","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\PostBlogForm.jsx","123","titulo","Gerado automaticamente a partir do titulo. Pode editar se quiser uma URL diferente."
"\src\components\admin\PostBlogForm.jsx","140","descricao","Aparece na listagem do blog e como descricao padrao para buscadores se o Meta Descricao ficar em branco."
"\src\components\admin\PostBlogForm.jsx","173","esta","(upload direto ainda nao esta disponivel)."
"\src\components\admin\PostBlogForm.jsx","187","titulo","Meta titulo"
"\src\components\admin\PostBlogForm.jsx","191","titulo","placeholder=""Deixe em branco para usar o titulo do post"""
"\src\components\admin\PostBlogForm.jsx","198","descricao","Meta descricao"
"\src\components\admin\Sidebar.jsx","9","portfolio","{ nome: ""Portfolio"", href: ""/admin/portfolio"" },"
"\src\components\admin\Sidebar.jsx","23","titulo","<span className=""font-titulo text-branco-gelo text-lg"">AW Admin</span>"
"\src\components\sections\Ambientes.jsx","41","titulo","aria-labelledby=""ambientes-titulo"""
"\src\components\sections\Ambientes.jsx","49","titulo","id=""ambientes-titulo"""
"\src\components\sections\Ambientes.jsx","50","titulo","className=""font-titulo text-3xl md:text-4xl text-branco-gelo leading-tight mt-4"""
"\src\components\sections\Ambientes.jsx","60","portfolio","href=""#portfolio"""
"\src\components\sections\Ambientes.jsx","72","titulo","<h3 className=""font-titulo text-xl text-branco-gelo"">"
"\src\components\sections\Contato.jsx","63","titulo","aria-labelledby=""contato-titulo"""
"\src\components\sections\Contato.jsx","71","titulo","id=""contato-titulo"""
"\src\components\sections\Contato.jsx","72","titulo","className=""font-titulo text-3xl md:text-4xl text-preto-fosco leading-tight mt-4"""
"\src\components\sections\Contato.jsx","84","titulo","<p className=""font-titulo text-xl text-preto-fosco"">"
"\src\components\sections\Depoimentos.jsx","16","titulo","aria-labelledby=""depoimentos-titulo"""
"\src\components\sections\Depoimentos.jsx","24","titulo","id=""depoimentos-titulo"""
"\src\components\sections\Depoimentos.jsx","25","titulo","className=""font-titulo text-3xl md:text-4xl text-branco-gelo leading-tight mt-4"""
"\src\components\sections\DepoimentosSwiper.jsx","31","titulo","<p className=""font-titulo text-xl md:text-2xl text-branco-gelo leading-relaxed italic"">"
"\src\components\sections\Faq.jsx","29","titulo","aria-labelledby=""faq-titulo"""
"\src\components\sections\Faq.jsx","41","titulo","id=""faq-titulo"""
"\src\components\sections\Faq.jsx","42","titulo","className=""font-titulo text-3xl md:text-4xl text-preto-fosco leading-tight mt-4"""
"\src\components\sections\FaqAccordion.jsx","19","titulo","<span className=""font-titulo text-lg text-preto-fosco"">"
"\src\components\sections\Portfolio.jsx","3","portfolio","export default async function Portfolio() {"
"\src\components\sections\Portfolio.jsx","10","portfolio","id=""portfolio"""
"\src\components\sections\Portfolio.jsx","12","titulo","aria-labelledby=""portfolio-titulo"""
"\src\components\sections\Portfolio.jsx","12","portfolio","aria-labelledby=""portfolio-titulo"""
"\src\components\sections\Portfolio.jsx","17","portfolio","Portfolio"
"\src\components\sections\Portfolio.jsx","20","titulo","id=""portfolio-titulo"""
"\src\components\sections\Portfolio.jsx","20","portfolio","id=""portfolio-titulo"""
"\src\components\sections\Portfolio.jsx","21","titulo","className=""font-titulo text-3xl md:text-4xl text-preto-fosco leading-tight mt-4"""
"\src\components\sections\PortfolioGaleria.jsx","51","portfolio","href={`/portfolio/${projeto.slug}`}"
"\src\components\sections\PortfolioGaleria.jsx","57","titulo","alt={projeto.titulo}"
"\src\components\sections\PortfolioGaleria.jsx","74","titulo","<h3 className=""font-titulo text-lg text-branco-gelo mt-1"">"
"\src\components\sections\PortfolioGaleria.jsx","75","titulo","{projeto.titulo}"
"\src\components\sections\Processo.jsx","4","titulo","titulo: ""Consultoria"","
"\src\components\sections\Processo.jsx","5","descricao","descricao:"
"\src\components\sections\Processo.jsx","10","titulo","titulo: ""Projeto"","
"\src\components\sections\Processo.jsx","11","descricao","descricao:"
"\src\components\sections\Processo.jsx","16","titulo","titulo: ""Aprovacao"","
"\src\components\sections\Processo.jsx","17","descricao","descricao:"
"\src\components\sections\Processo.jsx","22","titulo","titulo: ""Producao"","
